Price,Close,High,Low,Open,Volume
Ticker,NEO.BK,NEO.BK,NEO.BK,NEO.BK,NEO.BK
Date,,,,,
2024-12-11,32.25,33.5,32.25,33.25,522901
2024-12-12,31.5,32.5,31.0,32.5,862506
2024-12-13,31.25,31.75,30.75,31.5,495767
2024-12-16,31.5,31.5,30.25,31.5,549664
2024-12-17,30.75,32.25,30.75,31.5,354377
2024-12-18,30.75,31.25,30.5,30.75,193910
2024-12-19,30.75,32.0,30.5,30.75,458160
2024-12-20,31.5,31.75,31.0,31.0,343808
2024-12-23,32.0,32.5,31.5,32.0,386132
2024-12-24,32.25,32.25,31.75,32.0,97718
2024-12-25,33.5,33.75,32.5,32.75,1474865
2024-12-26,32.75,33.75,32.5,33.75,113313
2024-12-27,32.75,33.0,32.25,32.5,260613
2024-12-30,33.0,33.25,32.5,33.25,87800
2025-01-02,32.25,33.25,32.0,33.25,184119
2025-01-03,32.0,32.25,31.5,32.25,255906
2025-01-06,30.75,32.5,30.5,32.5,225130
2025-01-07,31.5,31.75,30.75,31.0,266688
2025-01-08,31.0,31.5,30.75,31.5,223962
2025-01-09,29.25,30.5,29.25,30.0,649667
2025-01-10,30.0,30.25,29.0,29.5,428585
2025-01-13,29.0,29.25,28.5,29.0,727316
2025-01-14,29.75,30.25,29.0,29.0,311629
2025-01-15,29.75,30.0,28.75,30.0,217946
2025-01-16,29.25,30.0,29.0,29.5,176600
2025-01-17,29.5,30.25,29.25,29.5,305869
2025-01-20,30.75,31.25,29.5,29.5,280525
2025-01-21,31.25,32.0,30.75,30.75,378782
2025-01-22,31.25,31.5,30.75,31.25,256845
2025-01-23,30.5,31.25,30.5,31.25,102682
2025-01-24,31.25,31.5,30.75,30.75,206806
2025-01-27,30.25,31.5,30.25,31.5,118126
2025-01-28,31.0,31.0,30.0,30.5,152492
2025-01-29,30.0,30.5,30.0,30.5,86427
2025-01-30,29.0,30.0,28.5,29.75,451348
2025-01-31,28.75,29.25,28.25,29.25,187584
2025-02-03,28.0,28.25,27.25,28.0,565436
2025-02-04,27.75,28.5,27.25,28.25,243404
2025-02-05,27.0,28.0,26.25,27.75,218813
2025-02-06,25.75,27.0,25.75,26.75,372162
2025-02-07,26.5,26.75,25.25,25.75,773261
